in s,C1 in V
-2.274033E+00,4.883E-03
-2.274023E+00,4.883E-03
-2.274013E+00,-1.465E-02
-2.274003E+00,4.883E-03
-2.273993E+00,1.465E-02
-2.273983E+00,4.883E-03
-2.273973E+00,-4.883E-03
-2.273963E+00,-4.883E-03
-2.273953E+00,1.465E-02
-2.273943E+00,3.418E-02
-2.273933E+00,2.441E-02
-2.273923E+00,2.441E-02
-2.273913E+00,2.441E-02
-2.273903E+00,3.418E-02
-2.273893E+00,1.465E-02
-2.273883E+00,5.371E-02
-2.273873E+00,1.465E-02
-2.273863E+00,3.418E-02
-2.273853E+00,1.465E-02
-2.273843E+00,1.465E-02
-2.273833E+00,2.441E-02
-2.273823E+00,3.418E-02
-2.273813E+00,3.418E-02
-2.273803E+00,-4.883E-03
-2.273793E+00,-1.465E-02
-2.273783E+00,2.441E-02
-2.273773E+00,1.465E-02
-2.273763E+00,4.883E-03
-2.273752E+00,-4.883E-03
-2.273742E+00,2.441E-02
-2.273732E+00,-4.883E-03
-2.273722E+00,3.418E-02
-2.273712E+00,-4.883E-03
-2.273702E+00,3.418E-02
-2.273692E+00,4.883E-03
-2.273682E+00,2.441E-02
-2.273672E+00,4.883E-03
-2.273662E+00,4.883E-03
-2.273652E+00,-4.883E-03
-2.273642E+00,1.465E-02
-2.273632E+00,1.465E-02
-2.273622E+00,1.465E-02
-2.273612E+00,4.883E-03
-2.273602E+00,3.418E-02
-2.273592E+00,3.418E-02
-2.273582E+00,3.418E-02
-2.273572E+00,4.883E-03
-2.273562E+00,-2.441E-02
-2.273552E+00,1.465E-02
-2.273542E+00,4.883E-03
-2.273532E+00,4.883E-03
-2.273522E+00,3.418E-02
-2.273512E+00,4.883E-03
-2.273502E+00,2.441E-02
-2.273492E+00,1.465E-02
-2.273482E+00,-4.883E-03
-2.273472E+00,2.441E-02
-2.273462E+00,1.465E-02
-2.273452E+00,-1.465E-02
-2.273442E+00,1.465E-02
-2.273431E+00,4.883E-03
-2.273421E+00,5.371E-02
-2.273411E+00,4.883E-03
-2.273401E+00,1.465E-02
-2.273391E+00,4.883E-03
-2.273381E+00,3.418E-02
-2.273371E+00,4.883E-03
-2.273361E+00,2.441E-02
-2.273351E+00,2.441E-02
