in s,C2 in V
-2.96142E+00,2.92267E-01
-2.96137E+00,2.92344E-01
-2.96132E+00,2.92298E-01
-2.96127E+00,2.92283E-01
-2.96122E+00,2.92130E-01
-2.96117E+00,2.92344E-01
-2.96112E+00,2.92405E-01
-2.96107E+00,2.92328E-01
-2.96102E+00,2.92435E-01
-2.96097E+00,2.92405E-01
-2.96092E+00,2.92466E-01
-2.96087E+00,2.92450E-01
-2.96082E+00,2.92466E-01
-2.96077E+00,2.92435E-01
-2.96072E+00,2.92435E-01
-2.96067E+00,2.92435E-01
-2.96062E+00,2.92420E-01
-2.96057E+00,2.92527E-01
-2.96052E+00,2.92435E-01
-2.96047E+00,2.92481E-01
-2.96042E+00,2.92496E-01
-2.96037E+00,2.92511E-01
-2.96032E+00,2.92481E-01
-2.96027E+00,2.92405E-01
-2.96022E+00,2.92527E-01
-2.96017E+00,2.92542E-01
-2.96012E+00,2.92527E-01
-2.96007E+00,2.92466E-01
-2.96002E+00,2.92481E-01
-2.95997E+00,2.92511E-01
-2.95992E+00,2.92481E-01
-2.95987E+00,2.92572E-01
-2.95982E+00,2.92603E-01
-2.95977E+00,2.92511E-01
-2.95972E+00,2.92527E-01
-2.95967E+00,2.92466E-01
-2.95962E+00,2.92481E-01
-2.95957E+00,2.92466E-01
-2.95952E+00,2.92527E-01
-2.95946E+00,2.92618E-01
-2.95941E+00,2.92633E-01
-2.95936E+00,2.92603E-01
-2.95931E+00,2.92557E-01
-2.95926E+00,2.92618E-01
-2.95921E+00,2.92618E-01
-2.95916E+00,2.92710E-01
-2.95911E+00,2.92710E-01
-2.95906E+00,2.92695E-01
-2.95901E+00,2.92649E-01
-2.95896E+00,2.92695E-01
-2.95891E+00,2.92557E-01
-2.95886E+00,2.92603E-01
