in s,C1 in V
-5.96030E+00,-7.324E-02
-5.96020E+00,1.709E-01
-5.96010E+00,7.324E-02
-5.96000E+00,-7.324E-02
-5.95990E+00,-7.324E-02
-5.95980E+00,-2.441E-02
-5.95970E+00,-2.441E-02
-5.95960E+00,2.441E-02
-5.95950E+00,-7.324E-02
-5.95939E+00,-1.709E-01
-5.95929E+00,7.324E-02
-5.95919E+00,2.441E-02
-5.95909E+00,-2.441E-02
-5.95899E+00,2.441E-02
-5.95889E+00,7.324E-02
-5.95879E+00,1.221E-01
-5.95869E+00,2.441E-02
-5.95859E+00,2.441E-02
-5.95849E+00,1.221E-01
-5.95839E+00,-2.441E-02
-5.95829E+00,-2.441E-02
-5.95819E+00,-2.441E-02
-5.95809E+00,2.441E-02
-5.95799E+00,7.324E-02
-5.95789E+00,-2.441E-02
-5.95779E+00,-2.441E-02
-5.95769E+00,7.324E-02
-5.95759E+00,-2.441E-02
-5.95749E+00,-2.441E-02
-5.95739E+00,2.441E-02
-5.95729E+00,-2.441E-02
-5.95719E+00,1.221E-01
-5.95709E+00,-1.709E-01
-5.95699E+00,-2.441E-02
-5.95689E+00,2.441E-02
-5.95679E+00,2.441E-02
-5.95669E+00,-2.441E-02
-5.95659E+00,2.441E-02
-5.95649E+00,1.709E-01
-5.95639E+00,2.441E-02
-5.95629E+00,1.221E-01
-5.95619E+00,1.221E-01
-5.95609E+00,1.709E-01
-5.95599E+00,-1.221E-01
-5.95589E+00,-2.441E-02
-5.95579E+00,-7.324E-02
-5.95569E+00,1.221E-01
-5.95559E+00,2.441E-02
-5.95549E+00,-2.441E-02
-5.95539E+00,1.221E-01
-5.95529E+00,-7.324E-02
-5.95519E+00,2.441E-02
-5.95509E+00,-1.221E-01
-5.95499E+00,2.441E-02
-5.95489E+00,2.441E-02
-5.95479E+00,2.441E-02
-5.95469E+00,-7.324E-02
-5.95459E+00,2.441E-02
-5.95449E+00,-2.441E-02
-5.95438E+00,-7.324E-02
-5.95428E+00,2.441E-02
-5.95418E+00,2.441E-02
-5.95408E+00,7.324E-02
-5.95398E+00,-1.221E-01
-5.95388E+00,-1.221E-01
-5.95378E+00,-2.441E-02
-5.95368E+00,1.221E-01
-5.95358E+00,2.441E-02
-5.95348E+00,2.441E-02
-5.95338E+00,7.324E-02
-5.95328E+00,-2.441E-02
-5.95318E+00,2.441E-02
-5.95308E+00,2.441E-02
-5.95298E+00,-1.221E-01
-5.95288E+00,1.709E-01
-5.95278E+00,1.221E-01
-5.95268E+00,2.441E-02
-5.95258E+00,-2.441E-02
-5.95248E+00,7.324E-02
-5.95238E+00,-1.221E-01
-5.95228E+00,-7.324E-02
-5.95218E+00,-2.441E-02
-5.95208E+00,2.441E-02
-5.95198E+00,-2.441E-02
-5.95188E+00,-1.709E-01
-5.95178E+00,-7.324E-02
-5.95168E+00,7.324E-02
-5.95158E+00,-7.324E-02
-5.95148E+00,2.441E-02
-5.95138E+00,-2.441E-02
-5.95128E+00,-2.441E-02
-5.95118E+00,2.441E-02
-5.95108E+00,2.441E-02
-5.95098E+00,-2.441E-02
-5.95088E+00,2.441E-02
-5.95078E+00,-2.441E-02
-5.95068E+00,2.441E-02
-5.95058E+00,2.441E-02
-5.95048E+00,-7.324E-02
-5.95038E+00,2.441E-02
-5.95028E+00,7.324E-02
-5.95018E+00,-2.441E-02
-5.95008E+00,1.221E-01
-5.94998E+00,2.441E-02
-5.94988E+00,-2.441E-02
-5.94978E+00,-2.441E-02
-5.94968E+00,-1.221E-01
-5.94958E+00,2.441E-02
-5.94948E+00,2.441E-02
-5.94937E+00,2.441E-02
-5.94927E+00,2.441E-02
-5.94917E+00,7.324E-02
-5.94907E+00,-7.324E-02
-5.94897E+00,1.709E-01
-5.94887E+00,2.441E-02
-5.94877E+00,7.324E-02
-5.94867E+00,-1.221E-01
-5.94857E+00,-2.441E-02
-5.94847E+00,7.324E-02
-5.94837E+00,1.221E-01
-5.94827E+00,7.324E-02
-5.94817E+00,2.686E-01
-5.94807E+00,2.441E-02
-5.94797E+00,-7.324E-02
-5.94787E+00,7.324E-02
-5.94777E+00,-2.441E-02
-5.94767E+00,1.221E-01
-5.94757E+00,7.324E-02
-5.94747E+00,1.221E-01
-5.94737E+00,-2.441E-02
-5.94727E+00,1.221E-01
-5.94717E+00,-2.441E-02
-5.94707E+00,-1.709E-01
-5.94697E+00,2.441E-02
-5.94687E+00,1.709E-01
-5.94677E+00,7.324E-02
-5.94667E+00,-2.441E-02
-5.94657E+00,2.441E-02
-5.94647E+00,2.441E-02
-5.94637E+00,-7.324E-02
-5.94627E+00,2.441E-02
-5.94617E+00,7.324E-02
-5.94607E+00,7.324E-02
-5.94597E+00,1.221E-01
-5.94587E+00,-2.441E-02
-5.94577E+00,-2.441E-02
-5.94567E+00,2.441E-02
-5.94557E+00,7.324E-02
-5.94547E+00,-7.324E-02
-5.94537E+00,-2.441E-02
-5.94527E+00,1.221E-01
-5.94517E+00,-1.221E-01
-5.94507E+00,-1.221E-01
-5.94497E+00,-1.221E-01
-5.94487E+00,-2.441E-02
-5.94477E+00,-2.441E-02
-5.94467E+00,-1.221E-01
-5.94457E+00,-2.441E-02
-5.94447E+00,7.324E-02
-5.94436E+00,2.441E-02
-5.94426E+00,1.221E-01
-5.94416E+00,2.441E-02
-5.94406E+00,7.324E-02
-5.94396E+00,2.441E-02
-5.94386E+00,-1.709E-01
-5.94376E+00,-2.441E-02
-5.94366E+00,2.441E-02
-5.94356E+00,2.441E-02
-5.94346E+00,2.441E-02
-5.94336E+00,-2.441E-02
-5.94326E+00,2.441E-02
-5.94316E+00,-1.221E-01
-5.94306E+00,-1.221E-01
-5.94296E+00,-7.324E-02
-5.94286E+00,7.324E-02
-5.94276E+00,-2.441E-02
-5.94266E+00,-7.324E-02
-5.94256E+00,-2.441E-02
-5.94246E+00,7.324E-02
-5.94236E+00,-2.441E-02
-5.94226E+00,1.221E-01
-5.94216E+00,7.324E-02
-5.94206E+00,-2.441E-02
-5.94196E+00,7.324E-02
-5.94186E+00,-7.324E-02
-5.94176E+00,-7.324E-02
-5.94166E+00,7.324E-02
-5.94156E+00,2.441E-02
-5.94146E+00,-7.324E-02
-5.94136E+00,2.441E-02
-5.94126E+00,1.221E-01
-5.94116E+00,-1.221E-01
-5.94106E+00,-1.221E-01
-5.94096E+00,-1.709E-01
-5.94086E+00,2.441E-02
